linenums,framework
0,Recent
1,Old
2,All
3,.NET Core
4,1% canary
5,"""Handcranking"" of Hadoop clusters using config management tools"
6,10x engineers
7,.NET 5
8,A single CI instance for all teams
9,Acceptance test of journeys
10,Accumulate-only data
11,acs-engine
12,Advanced analytics
13,Aeron
14,Aggregates as documents
15,Agile analytics
16,Airflow
17,Akka
18,Alamofire
19,Algorithmic IT operations
20,ALT.NET
21,Amazon API Gateway
22,Amazon Rekognition
23,Amundsen
24,Analyzing test runs
25,Android
26,Android Architecture Components
27,Android-x86
28,Anemic REST
29,Angular
30,Angular Testing Library
31,AngularJS
32,AngularJS and Knockout
33,Anka
34,Ansible
35,Ant
36,Anthos
37,AnyStatus
38,Apache Atlas
39,Apache Beam
40,Apache camel
41,Apache Flink
42,Apache Kafka
43,Apache Kylin
44,Apache Mesos
45,Apache Pig
46,Apache Pinot
47,Apache Pulsar
48,Apache Spark
49,Apache Superset
50,Apex
51,API expand-contract
52,API management services
53,APIs as a product
54,Aplas
55,Apollo
56,Apollo Auto
57,Apollo Federation
58,App containers
59,AppCode
60,AppHarbor
61,Appium
62,Appium Test Distribution
63,Application appliances
64,Application Servers
65,Applying product management to internal platforms
66,Archery
67,Architectural fitness function
68,ArchUnit
69,Argo CD
70,ARKit/ARCore
71,ARM Server SoC
72,Arrow
73,asdf-vm
74,ASP
75,AssertJ
76,assertj-swagger
77,AsyncAPI
78,Atlas and BeeHive
79,ATOM
80,Aurelia
81,Auth0
82,Automate database deployment
83,Automated deployment pipeline
84,Automated machine learning (AutoML)
85,Automation of technical tests
86,Autonomous bubble pattern
87,AVA
88,Avro
89,AWS
90,AWS Application Load Balancer
91,AWS Cloud Development Kit
92,AWS CodePipeline
93,AWS Data Wrangler
94,AWS Device Farm
95,AWS ECS
96,AWS Fargate
97,AWS Lambda
98,AWSume
99,axe-core
100,axios
101,Axon
102,Azure
103,Azure Data Factory for orchestration
104,Azure DevOps
105,Azure Machine Learning
106,Azure Pipelines
107,Azure Service Fabric
108,Azure Stack
109,Babel
110,Babylon.js
111,Backbone.js
112,Backend as a service
113,Backstage
114,BackstopJS
115,batect
116,BEM
117,BERT
118,BeyondCorp
119,BFF - Backend for frontends
120,Big Data envy
121,Big enterprise solutions
122,BigQuery
123,Binary attestation
124,Bit.dev
125,Bitrise
126,Blackbox
127,Blazor
128,Blockchain beyond bitcoin
129,Blue-green deployment
130,Bluetooth Mesh
131,Bokeh
132,Boot2docker
133,Bottled Water
134,Bounded Buy
135,Bounded low-code platforms
136,Bridging physical and digital worlds with simple hardware
137,Brighter
138,Browser-based templating
139,Browser-tailored polyfills
140,Browsersync
141,Bug bounties
142,Build pipelines
143,Build your own radar
144,Buildah and Podman
145,Buildkite
146,bUnit
147,Butterknife
148,Buying solutions you can only afford one of
149,C# 4.0
150,Caching reverse proxies
151,Caffe
152,Cage
153,Cake and Fake
154,Calabash
155,Calatrava
156,Camunda
157,Canary builds
158,Capability modeling
159,Capture domain events explicitly
160,Capturing client-side JavaScript errors
161,Care about hardware
162,Care about languages
163,Carthage
164,CartoDB
165,Cassandra carefully
166,Categorization & prioritization of technical debt
167,Ceph
168,cfn_nag
169,Chaos Engineering
170,Chaos Katas
171,Chaos Monkey
172,Chaos Toolkit
173,Chrome
174,Chrome OS
175,CI theatre
176,Cilium
177,CircleCI
178,Citrix for development
179,Clara rules
180,Claudia
181,Client and server rendering with same code
182,Client-directed query
183,Client-side MVC
184,Clinic.js Bubbleprof
185,Clojure
186,Clojure.spec
187,ClojureScript
188,Cloud
189,Cloud Foundry
190,Cloud lift and shift
191,Cloud sandboxes
192,Cloud Spanner
193,Cloud-based image comprehension
194,Cloud-init
195,Cloudera Impala
196,CloudEvents
197,Cloudflare Workers
198,CML
199,CMS as a platform
200,Co-location by telepresence
201,CoAP
202,CockroachDB
203,Code in configuration
