,soft_skill
0,tenacity
2,competency
3,subjectivity
4,resiliency
8,connectedness
9,contrition
10,communications
11,relations
12,understanding
13,connection
14,relationship
15,relationships
16,relation
17,connections
18,approach
19,trust
20,self
21,esteem
22,arrogance
23,strength
24,lack
25,humility
26,self-esteem
27,success
28,ability
29,boost
30,co-operation
31,partnership
32,reconciliation
33,diplomacy
34,agreement
35,transparency
36,partnerships
37,negotiations
38,dialogue
39,accountability
40,creative
41,imagination
42,innovation
43,confidence
44,knowledge
45,inspiration
46,ability

48,leadership
49,passion

51,exhortation
52,articulation
53,obstinacy
54,characterization

57,receded
58,contrivance
59,well-developed
60,reliability
61,steadiness
62,unselfishness
63,objectivity

65,eminent
66,versatility
67,intellectualism
68,tenacity
69,ostentatious
70,perseverance
71,earnestness


75,utmost
76,virtue
77,profitability
78,appraisal
79,persistence
80,determination
81,dedication
82,humility
83,sacrifice
84,patience
85,requires

87,ambition
88,motivation
89,consistency
90,compassion
91,sympathy
92,humility
93,understanding

95,creativity
96,tolerance
97,sensitivity
98,kindness
99,self-awareness
100,stability
101,agility
102,sensitivity
103,strength
104,workplace
105,professionalism
106,accountability
107,versatility
108,toughness
109,restraint

111,declaration
112,democracy

114,equality

116,independance
117,celebrate

120,innovation
121,initiatives
122,development
123,education
124,leadership

126,conservation
127,empowerment
128,partnership
129,community
130,leaders
131,innovation
132,education
133,development
134,success
135,strategy

137,governance
138,community
139,influence
140,inspiration
141,dedication
142,determination
143,workout
144,ambition
145,passion
146,work
147,motivated
148,success
149,strength
150,negotiating
151,negotiations
152,agreement
153,techniques
154,correspondence
155,strategy
156,strategies
157,diplomacy

160,social
161,network

164,connections

168,community
169,events
170,perspective
171,perceptions
172,aspect
173,consciousness


176,mindset
177,reflection
178,attitude
179,vision
180,plans
181,preparing
182,plan
183,meeting
184,going

186,planing


189,working

191,assignation
192,characterization
193,cognition
194,scrupulous
195,story-telling


198,role-play
199,propensity
200,accountability
201,failure
202,commitment
203,sacrifice
204,responsible
205,responsibilities

207,obligation

210,hardwork
211,dedication
212,perseverance
213,skills
214,togetherness
215,skill
216,success
217,ethic
218,determination
219,effort
220,adaptability
221,communication
222,confidence
223,conflict-resolution
224,cooperation
225,creativity
226,critical-thinking
227,decisiveness
228,dependability
229,diligence
230,discipline
231,empathy
232,flexibility
233,independence
234,initiative
235,leadership
236,motivation
237,negotiation
238,networking
239,perception
240,planning
241,positive-attitude
242,problem-solving
243,responsibility
244,teamwork
245,time-management
246,work-ethic
