,lang,count
0,A.NET ,0
1,A-0 System,0
2,A+ ,4
3,ABAP,5
4,ABC,0
5,ABC ALGOL,0
6,ACC,1822
7,Accent ,0
8,Ace DASL ,0
9,Action!,0
10,ActionScript,0
11,Actor,221
12,Ada,361
13,Adenine ,0
14,AdvPL,0
15,Agda,0
16,Agilent VEE ,0
17,Agora,0
18,AIMMS,0
19,Aldor,0
20,Alef,0
21,ALF,73
22,ALGOL 58,0
23,ALGOL 60,0
24,ALGOL 68,0
25,ALGOL W,0
26,Alice ,0
27,Alma-0,0
28,AmbientTalk,0
29,Amiga E,0
30,AMOS ,0
31,AMPL,127
32,AngelScript,0
33,Apache Pig latin,0
34,Apex ,13
35,APL,2
36,App Inventor for Android's visual block language ,0
37,AppleScript,0
38,APT,571
39,Arc,2205
40,ARexx,0
41,Argus,0
42,Assembly language ,1
43,AutoIt,1
44,AutoLISP / Visual LISP,0
45,Averest,0
46,AWK,58
47,Axum,0
48,B,42516
49,Babbage,0
50,Ballerina,0
51,Bash,32
52,BASIC,174
53,Batch file ,0
54,bc ,7
55,BCPL,0
56,BeanShell,0
57,Bertrand,0
58,BETA,5
59,BLISS,0
60,Blockly,0
61,BlooP,0
62,Boo,300
63,Boomerang,0
64,Bosque,0
65,C – ISO/IEC 9899,0
66,C-- ,0
67,C++ ,50
68,C*,0
69,C# ,156
70,C/AL,4
71,Caché ObjectScript,0
72,C Shell ,0
73,Caml,0
74,Cayenne ,0
75,CDuce,0
76,Cecil,0
77,Cesil ,0
78,Céu,0
79,Ceylon,0
80,CFEngine,0
81,Cg ,24
82,Ch,17503
83,Chapel ,0
84,Charm,3
85,CHILL,5
86,CHIP-8,0
87,ChucK,0
88,Cilk ,0
89,CL ,87
90,Claire,11
91,Clarion,0
92,Clean,165
93,Clipper,0
94,CLIPS,17
95,CLIST,0
96,Clojure,0
97,CLU,3582
98,CMS-2,0
99,COBOL – ISO/IEC 1989,0
100,CobolScript – COBOL Scripting language,0
101,Cobra,0
102,CoffeeScript,1
103,ColdFusion,2
104,COMAL,0
105,Combined Programming Language ,0
106,COMIT,1
107,Common Intermediate Language ,0
108,Common Lisp ,0
109,COMPASS,62
110,Component Pascal,0
111,Constraint Handling Rules ,0
112,COMTRAN,0
113,Cool,70
114,Coq,0
115,Coral 66,0
116,CorVision,0
117,COWSEL,0
118,CPL,0
119,Cryptol,0
120,Crystal,5
121,Csound,0
122,Cuneiform,0
123,Curl,1
124,Curry,0
125,Cybil,0
126,Cyclone,40
127,Cypher Query Language,0
128,Cython,0
129,CEEMAC,0
130,D,60635
131,Dart,4
132,Darwin,2
133,DataFlex,1
134,Datalog,0
135,DATATRIEVE,0
136,dBase,0
137,dc,109
138,DCL ,2
139,Delphi,4
140,DinkC,0
141,DIBOL,0
142,Dog,23
143,Draco,0
144,DRAKON,0
145,Dylan,1
146,DYNAMO,21
147,DAX ,9
148,E,75338
149,Ease,2848
150,Easy PL/I,0
151,EASYTRIEVE PLUS,0
152,eC,21242
153,ECMAScript,0
154,Edinburgh IMP,0
155,EGL,0
156,Eiffel,0
157,ELAN,21
158,Elixir,3
159,Elm,19
160,Emacs Lisp,0
161,Emerald,0
162,Epigram,0
163,EPL ,0
164,EPL ,0
165,Erlang,1
166,es,36600
167,Escher,0
168,ESPOL,0
169,Esterel,0
170,Etoys,0
171,Euclid,0
172,Euler,0
173,Euphoria,0
174,EusLisp Robot Programming Language,0
175,CMS EXEC ,0
176,EXEC 2,0
177,Executable UML,0
178,Ezhil,0
179,F,46889
180,F# ,2
181,F*,0
182,Factor,127
183,Fantom,0
184,FAUST,0
185,FFP,2
186,fish,30
187,Fjölnir,0
188,FL,2708
189,Flavors,0
190,Flex,1378
191,Flix,0
192,FlooP,0
193,FLOW-MASTIC ,0
194,FOCAL ,1
195,FOCUS,1713
196,FOIL,0
197,FORMAC ,0
198,@Formula,0
199,Forth,1
200,Fortran – ISO/IEC 1539,0
201,Fortress,0
202,FP,50
203,Franz Lisp,0
204,Futhark,0
205,F-Script,0
206,Game Maker Language ,0
207,GameMonkey Script,0
208,GAMS ,0
209,GAP,102
210,G-code,0
211,GDScript ,0
212,Genie,0
213,GDL ,0
214,GEORGE,0
215,GLSL ,0
216,GNU E,0
217,GNU Guile ,0
218,Go,3996
219,Go!,7
220,GOAL ,110
221,Gödel,0
222,Golo,0
223,GOM ,0
224,Google Apps Script,0
225,Gosu,0
226,GOTRAN ,0
227,GPSS ,0
228,GraphTalk ,0
229,GRASS,19
230,Grasshopper,2
231,Groovy ,1
232,Hack,27
233,HAGGIS,0
234,HAL/S,0
235,Halide ,0
236,Hamilton C shell,0
237,Harbour,16
238,Hartmann pipelines,0
239,Haskell,0
240,Haxe,0
241,Hermes,0
242,High Level Assembly ,0
243,HLSL,0
244,Hollywood,2
245,HolyC ,0
246,Hop,331
247,Hopscotch,0
248,Hope,26
249,Hugo ,0
250,Hume,0
251,HyperTalk,0
252,Io,31016
253,Icon,52
254,IBM Basic assembly language,0
255,IBM HAScript,0
256,IBM Informix-4GL,0
257,IBM RPG,0
258,IDL,159
259,Idris,0
260,Inform,1693
261,J,11142
262,J# ,0
263,J++ ,0
264,JADE,3
265,Jai,0
266,JAL,6
267,Janus ,0
268,Janus ,0
269,JASS,0
270,Java,1021
271,JavaFX Script,0
272,JavaScript,601
273,Jess ,0
274,JCL,0
275,JEAN,8
276,Join Java,0
277,JOSS,0
278,Joule,0
279,JOVIAL,0
280,Joy,690
281,JScript,3
282,JScript .NET,0
283,Julia,12
284,Jython,0
285,K,35931
286,Kaleidoscope,0
287,Karel,0
288,KEE,775
289,Kixtart,0
290,Klerer-May System,0
291,KIF ,0
292,Kojo,0
293,Kotlin,52
294,KRC,0
295,KRL,0
296,KRL ,0
297,KRYPTON,0
298,KornShell ,0
299,Kodu,0
300,Kv ,0
301,LabVIEW,0
302,Ladder,2
303,LANSA,0
304,Lasso,0
305,Lava,6
306,LC-3,0
307,Lean,279
308,Legoscript,0
309,LIL,0
310,LilyPond,0
311,Limbo,0
312,Limnor,0
313,LINC,13
314,Lingo,2
315,LINQ,10
316,LIS,2496
