,lang,count
0,A.NET ,0
1,A-0 System,0
2,A+ ,0
3,ABAP,0
4,ABC,0
5,ABC ALGOL,0
6,ACC,0
7,Accent ,0
8,Ace DASL ,0
9,Action!,0
10,ActionScript,0
11,Actor,0
12,Ada,0
13,Adenine ,0
14,AdvPL,0
15,Agda,0
16,Agilent VEE ,0
17,Agora,0
18,AIMMS,0
19,Aldor,0
20,Alef,0
21,ALF,0
22,ALGOL 58,0
23,ALGOL 60,0
24,ALGOL 68,0
25,ALGOL W,0
26,Alice ,0
27,Alma-0,0
28,AmbientTalk,0
29,Amiga E,0
30,AMOS ,0
31,AMPL,0
32,AngelScript,0
33,Apache Pig latin,0
34,Apex ,1
35,APL,0
36,App Inventor for Android's visual block language ,0
37,AppleScript,0
38,APT,0
39,Arc,0
40,ARexx,0
41,Argus,0
42,Assembly language ,0
43,AutoIt,0
44,AutoLISP / Visual LISP,0
45,Averest,0
46,AWK,0
47,Axum,0
48,B,0
49,Babbage,0
50,Ballerina,0
51,Bash,1
52,BASIC,0
53,Batch file ,0
54,bc ,0
55,BCPL,0
56,BeanShell,0
57,Bertrand,0
58,BETA,0
59,BLISS,0
60,Blockly,0
61,BlooP,0
62,Boo,0
63,Boomerang,0
64,Bosque,0
65,C – ISO/IEC 9899,0
66,C-- ,0
67,C++ ,0
68,C*,0
69,C# ,7
70,C/AL,0
71,Caché ObjectScript,0
72,C Shell ,0
73,Caml,0
74,Cayenne ,0
75,CDuce,0
76,Cecil,0
77,Cesil ,0
78,Céu,0
79,Ceylon,0
80,CFEngine,0
81,Cg ,0
82,Ch,0
83,Chapel ,0
84,Charm,0
85,CHILL,0
86,CHIP-8,0
87,ChucK,0
88,Cilk ,0
89,CL ,0
90,Claire,0
91,Clarion,0
92,Clean,0
93,Clipper,0
94,CLIPS,0
95,CLIST,0
96,Clojure,0
97,CLU,0
98,CMS-2,0
99,COBOL – ISO/IEC 1989,0
100,CobolScript – COBOL Scripting language,0
101,Cobra,0
102,CoffeeScript,0
103,ColdFusion,0
104,COMAL,0
105,Combined Programming Language ,0
106,COMIT,0
107,Common Intermediate Language ,0
108,Common Lisp ,0
109,COMPASS,0
110,Component Pascal,0
111,Constraint Handling Rules ,0
112,COMTRAN,0
113,Cool,1
114,Coq,0
115,Coral 66,0
116,CorVision,0
117,COWSEL,0
118,CPL,0
119,Cryptol,0
120,Crystal,0
121,Csound,0
122,Cuneiform,0
123,Curl,0
124,Curry,0
125,Cybil,0
126,Cyclone,1
127,Cypher Query Language,0
128,Cython,0
129,CEEMAC,0
130,D,0
131,Dart,0
132,Darwin,0
133,DataFlex,0
134,Datalog,0
135,DATATRIEVE,0
136,dBase,0
137,dc,0
138,DCL ,0
139,Delphi,0
140,DinkC,0
141,DIBOL,0
142,Dog,0
143,Draco,0
144,DRAKON,0
145,Dylan,0
146,DYNAMO,0
147,DAX ,0
148,E,1
149,Ease,5
150,Easy PL/I,0
151,EASYTRIEVE PLUS,0
152,eC,0
153,ECMAScript,0
154,Edinburgh IMP,0
155,EGL,0
156,Eiffel,0
157,ELAN,0
158,Elixir,0
159,Elm,0
160,Emacs Lisp,0
161,Emerald,0
162,Epigram,0
163,EPL ,0
164,EPL ,0
165,Erlang,0
166,es,0
167,Escher,0
168,ESPOL,0
169,Esterel,0
170,Etoys,0
171,Euclid,0
172,Euler,0
173,Euphoria,0
174,EusLisp Robot Programming Language,0
175,CMS EXEC ,0
176,EXEC 2,0
177,Executable UML,0
178,Ezhil,0
179,F,1
180,F# ,0
181,F*,0
182,Factor,0
183,Fantom,0
184,FAUST,0
185,FFP,0
186,fish,0
187,Fjölnir,0
188,FL,0
189,Flavors,0
190,Flex,0
191,Flix,0
192,FlooP,0
193,FLOW-MASTIC ,0
194,FOCAL ,0
195,FOCUS,27
196,FOIL,0
197,FORMAC ,0
198,@Formula,0
199,Forth,0
200,Fortran – ISO/IEC 1539,0
201,Fortress,0
202,FP,0
203,Franz Lisp,0
204,Futhark,0
205,F-Script,0
206,Game Maker Language ,0
207,GameMonkey Script,0
208,GAMS ,0
209,GAP,1
210,G-code,0
211,GDScript ,0
212,Genie,0
213,GDL ,0
214,GEORGE,0
215,GLSL ,0
216,GNU E,0
217,GNU Guile ,0
218,Go,6
219,Go!,0
220,GOAL ,5
221,Gödel,0
222,Golo,0
223,GOM ,0
224,Google Apps Script,0
225,Gosu,0
226,GOTRAN ,0
227,GPSS ,0
228,GraphTalk ,0
229,GRASS,1
230,Grasshopper,0
231,Groovy ,0
232,Hack,0
233,HAGGIS,0
234,HAL/S,0
235,Halide ,0
236,Hamilton C shell,0
237,Harbour,0
238,Hartmann pipelines,0
239,Haskell,0
240,Haxe,0
241,Hermes,0
242,High Level Assembly ,0
243,HLSL,0
244,Hollywood,0
245,HolyC ,0
246,Hop,0
247,Hopscotch,0
248,Hope,2
249,Hugo ,0
250,Hume,0
251,HyperTalk,0
252,Io,0
253,Icon,0
254,IBM Basic assembly language,0
255,IBM HAScript,0
256,IBM Informix-4GL,0
257,IBM RPG,0
258,IDL,0
259,Idris,0
260,Inform,1
261,J,1
262,J# ,0
263,J++ ,0
264,JADE,0
265,Jai,0
266,JAL,0
267,Janus ,0
268,Janus ,0
269,JASS,0
270,Java,16
271,JavaFX Script,0
272,JavaScript,4
273,Jess ,0
274,JCL,0
275,JEAN,0
276,Join Java,0
277,JOSS,0
278,Joule,0
279,JOVIAL,0
280,Joy,0
281,JScript,0
282,JScript .NET,0
283,Julia,0
284,Jython,0
285,K,0
286,Kaleidoscope,0
287,Karel,0
288,KEE,0
289,Kixtart,0
290,Klerer-May System,0
291,KIF ,0
292,Kojo,0
293,Kotlin,0
294,KRC,0
295,KRL,0
296,KRL ,0
297,KRYPTON,0
298,KornShell ,0
299,Kodu,0
300,Kv ,0
301,LabVIEW,0
302,Ladder,0
303,LANSA,0
304,Lasso,0
305,Lava,0
306,LC-3,0
307,Lean,5
308,Legoscript,0
309,LIL,0
310,LilyPond,0
311,Limbo,0
312,Limnor,0
313,LINC,0
314,Lingo,0
315,LINQ,0
316,LIS,0
317,LISA,0
318,Language H,0
