,lang,count
0,A#,0
1,A-0 System,0
2,A+ ,0
3,ABAP,3
4,ABC,0
5,ALGOL,0
6,Accent ,0
7,Ace DASL ,0
8,Action!,0
9,ActionScript,0
10,Actor,0
11,Ada,0
12,Adenine ,0
13,AdvPL,0
14,Agda,0
15,Agilent VEE ,0
16,Agora,0
17,AIMMS,0
18,Aldor,0
19,Alef,0
20,ALF,0
21,ALGOL,0
22,ALGOL W,0
23,Alice ,0
24,Alma-0,0
25,AmbientTalk,0
26,Amiga E,0
27,AMOS ,0
28,AMPL,0
29,AngelScript,0
30,Apache Pig latin,0
31,Apex ,5
32,APL,0
33,App Inventor for Android's visual block language ,0
34,AppleScript,0
35,APT,0
36,Arc,0
37,ARexx,0
38,Argus,0
39,Assembly language ,0
40,AutoIt,0
41,AutoLISP / Visual LISP,0
42,Averest,0
43,AWK,0
44,Axum,0
45,B,0
46,Babbage,0
47,Ballerina,0
48,Bash,0
49,BASIC,1
50,Batch,0
51,bc ,1
52,BCPL,0
53,BeanShell,0
54,Bertrand,0
55,BETA,0
56,BLISS,0
57,Blockly,0
58,BlooP,0
59,Boo,0
60,Boomerang,0
61,Bosque,0
62,C,1
63,C-- ,0
64,C++ ,1
65,C*,0
66,C# ,5
67,C/AL,1
68,Caché ObjectScript,0
69,C Shell ,0
70,Caml,0
71,Cayenne ,0
72,CDuce,0
73,Cecil,0
74,Cesil ,0
75,Céu,0
76,Ceylon,0
77,CFEngine,0
78,Cg ,0
79,Ch,0
80,Chapel ,0
81,Charm,0
82,CHILL,0
83,CHIP-8,0
84,ChucK,0
85,Cilk ,0
86,CL ,0
87,Claire,0
88,Clarion,0
89,Clean,2
90,Clipper,0
91,CLIPS,0
92,CLIST,0
93,Clojure,0
94,CLU,0
95,CMS-2,0
96,COBOL,0
97,CobolScript,0
98,Cobra,0
99,CoffeeScript,0
100,ColdFusion,0
101,COMAL,0
102,Combined Programming Language ,0
103,COMIT,0
104,Common Intermediate Language ,0
105,Common Lisp ,0
106,COMPASS,0
107,Component Pascal,0
108,Constraint Handling Rules ,0
109,COMTRAN,0
110,Cool,1
111,Coq,0
112,Coral 66,0
113,CorVision,0
114,COWSEL,0
115,CPL,0
116,Cryptol,0
117,Crystal,0
118,Csound,0
119,Cuneiform,0
120,Curl,0
121,Curry,0
122,Cybil,0
123,Cyclone,0
124,Cypher Query Language,0
125,Cython,0
126,CEEMAC,0
127,D,0
128,Dart,0
129,Darwin,0
130,DataFlex,0
